,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
162,TUTTO PASTA!,26,2.8,2.5,40–60,Postres,€,"Avda. Felipe II, 17,  Madrid",Salamanca,40.42413,-3.67285
163,La Tagliatella,38,4.5,1.9,25–35,Pizza,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Salamanca,40.40861,-3.69288
164,Scarlett Real Food,30,2.9,1.9,35–45,Postres,€,"Calle Del Conde De Peñalver, 13,  Madrid",Salamanca,40.42635,-3.67538
165,La Cuchara,30,2.9,2.4,40–50,Gourmet,€,"Alcalde Luis De Marichala 3,   Madrid",Salamanca,40.4361,-3.6722
166,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle De Ángel González Tejedor 5,   Madrid",Salamanca,40.43173,-3.65658
167,Taco Bell,200,4.2,1.9,25–35,Hamburguesas,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Salamanca,40.40861,-3.69288
168,Scarlett Real Food,29,2.9,2.4,45–55,Postres,€,"Calle Azulejo 2,   Madrid",Salamanca,40.33274,-3.71905
169,Pizzería Argentina El Trébol,29,2.9,1.4,30–40,Pizza,€,"Calle De José Ortega Y Gasset 94,  Madrid",Salamanca,40.42986,-3.67176
170,Empanadas Malvón,48,4.9,0.9,15–25,Empanada,€,"Calle De Luchana 17,   Madrid",Salamanca,40.43,-3.70099
171,Pizzart Luchana,29,2.9,2.4,55–65,Pizza,€,"Calle Alcala 191,   Madrid",Salamanca,40.42654,-3.67232
172,Pastamore,98,4.6,0.9,15–25,Italiana,€,"Calle De San Andrés, 26,  Madrid",Salamanca,40.42735,-3.70352
173,Roost Chicken,29,2.9,2.4,50–60,Pollo,€,"Plaza Emperador Carlos V, 11 ,  Madrid",Salamanca,40.4085,-3.69295
174,Taco Bell,200,4.2,2.4,35–45,Hamburguesas,€€,"Calle De La Alianza 33,  Madrid",Salamanca,40.35775,-3.68689
175,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26,  Madrid",Salamanca,40.45866,-3.64638
176,El Burrito Borracho,29,2.9,1.9,35–45,Burritos,€€,"Calle De Azcona 36,   Madrid",Salamanca,40.38927,-3.7415
177,Arepish,186,4.6,0.9,25–35,Venezolana,€€€,"Calle De Alcalá, 344,    Madrid",Salamanca,40.44291,-3.61886
178,Little Caesars Pizza,200,4.5,2.4,30–40,Pizza,€€€,"Calle Azulejo 2,   Madrid",Salamanca,40.33274,-3.71905
179,Empanadas BAIRES,29,2.9,1.4,35–45,Empanada,€,"Calle De Ayala 28,   Madrid",Salamanca,40.42774,-3.68571
180,SANABRIA,29,2.9,1.4,50–60,Tapas y raciones,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Salamanca,40.42651,-3.67813
181,Rude Burger,36,4.8,0.9,25–35,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Salamanca,40.44861,-3.66712
182,100 % Sano,29,2.9,0.9,20–30,Saludable,€€€,"Calle Conde De Penalver 35,   Madrid",Salamanca,40.42846,-3.67524
183,Cor & Cor,35,4.3,0.4,35–45,Postres,€,"López De Hoyos , 153,   Madrid",Salamanca,40.44872,-3.66864
184,Popeyes,200,4.4,2.4,35–45,Pollo,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Salamanca,40.42562,-3.67992
185,Home Burger Bar,198,4.1,2.4,30–40,Hamburguesas,€,"Calle Maldonado 07,  Madrid",Salamanca,40.43367,-3.68057
186,Artisan Burger,29,2.9,0.9,40–50,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,  Madrid",Salamanca,40.42681,-3.66684
187,Thai Zafra,38,4.6,0.9,15–25,Everyday Essentials,€,"Calle De Maldonado, 51,  Madrid",Salamanca,40.43378,-3.6789
188,Tiendas 7x24,140,4.8,0.9,20–30,Saludable,€,"Calle De Velázquez, 118,  Madrid",Salamanca,40.43525,-3.68349
189,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€,"Paseo Del Marqués De Zafra 38,   Madrid",Salamanca,40.42547,-3.66303
190,DIVE`S FOOD,29,2.9,1.4,35–45,Hamburguesas,€,"Calle De María De Molina, 44,  Madrid",Salamanca,40.43794,-3.68459
191,Flame,29,2.9,1.4,40–50,Hamburguesas,€,"Calle De Luchana 13,   Madrid",Salamanca,40.43,-3.70099
192,Freedom Pizza,53,4.5,2.4,45–55,Pizza,€,"Calle Del Espíritu Santo 16,   Madrid",Salamanca,40.42557,-3.70629
193,MY Pasta Room,59,4.6,2.4,50–60,Italiana,€,"Calle Gran Vía, 16,    Madrid",Salamanca,40.41966,-3.69894
194,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle De Goya, 70,  Madrid",Salamanca,40.42469,-3.67663
195,McDonald's,200,4.6,0.9,15–25,Hamburguesas,€,"Calle De Las Naciones 5,   Madrid",Salamanca,40.42685,-3.6736
196,PaellaGood,29,2.9,0.4,30–40,Mediterránea,€,"Calle De Núñez De Arce 11,   Madrid",Salamanca,40.41538,-3.70124
197,Empanadas BAIRES,29,2.9,2.99,35–55,Empanada,€,"Calle De Carranza 3,   Madrid",Salamanca,40.42895,-3.70276
198,Tiendas 7x24,70,4.6,2.4,45–55,Comida rápida,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Salamanca,40.42661,-3.66826
199,Empanadas Pampas,29,2.9,0.9,25–35,Empanada,€,"Calle Esteban Collantes, 31,   Madrid",Salamanca,40.43166,-3.64089
200,Croqueteria Focos,29,2.9,2.9,35–45,Croquetas,€,"Calle De La Cruz, 20,    Madrid",Salamanca,40.41553,-3.70175
201,Galipan,23,4.2,2.9,60–70,Halal,€,"Calle De Tudescos, 4,  Madrid",Salamanca,40.3747,-3.65969
202,Super naan,29,2.9,2.4,60–70,India,€,"Calle Mateo García, 13,  Madrid",Salamanca,40.4316,-3.65271
203,Pollos Gourmet,29,2.9,1.9,30–40,Pollo,€,"Calle De Gonzalo De Berceo 63,   Madrid",Salamanca,40.42865,-3.6399
204,Asador Perla del Pacifico Ascao,39,4.6,2.9,40–50,Carne,€,"Calle Libertad, 9,  Madrid",Salamanca,40.42072,-3.69767
205,Puccias Chueca,29,2.9,2.4,40–50,Americana,€,"Calle Del Cardenal Cisneros 1,  Madrid",Salamanca,40.42965,-3.70165
206,Graal,29,2.9,2.4,60–70,Ramen,€,"Calle De Méjico 20,   Madrid",Salamanca,40.43736,-3.67305
207,Restaurante Chino Diamante,100,4.0,1.4,25–35,China,€,"Calle De José Abascal 31,  Madrid",Salamanca,40.43856,-3.69891
208,Junk Burger,31,4.3,1.9,45–55,Hamburguesas,€,"Calle De Hermosilla, 91,  Madrid",Salamanca,40.42607,-3.67616
209,Esmirna Doner Kebap,48,4.7,0.9,25–35,Kebab,€,"Av. De Felipe II, 8,  Madrid",Salamanca,40.42385,-3.6765
210,Aloha Poke,200,4.7,0.9,20–30,Poke,€,"Calle Zabaleta 1,   Madrid",Salamanca,40.44065,-3.67537
211,CHUCK CHUCK CHICKEN,29,2.9,1.4,35–45,Pollo,€,"Calle Gran Vía, 22,  Madrid",Salamanca,40.42011,-3.7007
212,TGB,89,3.9,2.4,65–75,Hamburguesas,€,"Calle Génova 27,  Madrid",Salamanca,40.46663,-3.65361
213,VIPS,16,4.8,1.9,50–60,Americana,€,"Calle De Atocha 98,  Madrid",Salamanca,40.41053,-3.6958
214,Capasso Pizza,29,2.9,2.4,45–55,Pizza,€,"Calle De La Virgen De La Fuencisla, 19,   Madrid",Salamanca,40.39654,-3.66673
215,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle De José Calvo 6,  Madrid",Salamanca,40.45883,-3.70845
216,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores, 17 ,  Madrid",Chamartín,40.40069,-3.69925
217,TUTTO PASTA!,26,2.8,2.5,40–60,Postres,€,"Avda. Felipe Ii, 17,  Madrid",Chamartín,40.42413,-3.67285
219,Papa John's,200,4.5,1.4,30–40,Pizza,€,"Calle Del Conde De Peñalver, 17,  Madrid",Chamartín,40.42665,-3.67583
221,Papa John's,200,4.3,0.9,25–35,Pizza,€,"Calle Del Conde De Serrallo, 1,  Madrid",Chamartín,40.46554,-3.69196
222,Taberna Andaluza,25,4.4,1.4,40–50,Tapas,€,"Paseo De La Castellana 191,   Madrid",Chamartín,40.46807,-3.68995
223,Taco Bell,200,4.1,1.4,25–35,Hamburguesas,€,"Calle Araucaria 19,   Madrid",Chamartín,40.46046,-3.70001
224,Roost Chicken,123,4.6,1.9,35–45,Pollo,€,"Av. De Brasil, 6,  Madrid",Chamartín,40.45833,-3.69354
225,La Mordida,25,4.4,1.4,45–55,Mediterránea,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Chamartín,40.42562,-3.67992
226,Home Burger Bar,198,4.1,0.9,25–35,Hamburguesas,€€€,"Calle De Huesca, 19, Bajo,    Madrid",Chamartín,40.45804,-3.69889
227,La cabaña de cris,29,2.9,1.9,50–60,Pollo,€€,"Calle De Bravo Murillo 199,   Madrid",Chamartín,40.45622,-3.70204
228,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Manuel De Falla 5,   Madrid",Chamartín,40.45502,-3.68811
229,Limbo Player Two,29,2.9,0.9,45–55,Carne,€€,"Av. De Brasil, 17,  Madrid",Chamartín,40.45837,-3.69289
230,Ala Sushi,29,2.9,1.4,30–40,Sushi,€€,"Calle De Bravo Murillo, 113,  Madrid",Chamartín,40.44805,-3.70399
231,Little Caesars Pizza,200,4.6,3.0,5–25 ,Pizza,€,"Calle De La Infanta Mercedes, 17,  Madrid",Chamartín,40.45303,-3.69951
232,Toro Burger Lounge,23,4.1,1.9,55–65,Alcohol,€,"Castellana, 123,  Madrid",Chamartín,40.45826,-3.69067
233,Popeyes,200,4.0,1.4,30–40,Pollo,€,"Calle Castilla,4   Madrid",Chamartín,40.45286,-3.70425
234,MANKA,52,4.9,2.4,55–65,Pizza,€,"Paseo De La Castellana 130,  Madrid",Chamartín,40.4502,-3.69019
235,Yakitoro,26,4.5,1.4,55–65,Pollo,€,"Calle De Francos Rodríguez, 42,  Madrid",Chamartín,40.45552,-3.70451
236,EL ASADOR,40,2.9,2.4,60–70,Carne,€,"Calle Del Príncipe De Vergara 256,   Madrid",Chamartín,40.42562,-3.67992
