,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,Tag_
435,Roost Chicken,123,4.6,2.9,40–50,Pollo,€,"Calle De Isaac Peral 4, 28015",Carabanchel,Pollo
436,McDonald's,200,4.4,2.9,30–40,Hamburguesa,€,"Calle De Isaac Peral 4, 28015",Carabanchel,Hamburguesa
437,Taco Bell,200,4.1,2.4,35–45,Hamburguesa,€,"Hilarion Eslava 42,  28015",Carabanchel,Hamburguesa
438,CONVEXO,69,4.6,2.9,35–45,Gourmet,€€€,"Calle De Bravo Murillo 199,  28039",Carabanchel,Gourmet
439,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Bravo Murillo, 113, 28039",Carabanchel,Pollo
440,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De Francos Rodríguez, 42, 28039",Carabanchel,Pizza
453,McDonald's,200,4.3,1.9,15–25,Hamburguesa,€,"Paseo De Santa María De La Cabeza, 86, 28045",Carabanchel,Hamburguesa
454,Beiben,14,4.2,2.4,30–40,Mediterránea,€,"Calle De Mira El Sol 23, 28005",Carabanchel,Mediterránea
455,La Cochinita Loca,19,4.3,2.4,45–55,SouthAmerica,€,"Calle De Guetaria 72,  28041",Carabanchel,SouthAmerica
456,Pasta con todo 🍝,26,3.0,2.4,45–55,Pizza,€,"Calle Fragata, 11,  28019",Carabanchel,Pizza
457,Latin kebab,25,4.0,1.4,30–40,Kebab,€,"Calle Arechavaleta 6,  28041",Carabanchel,Kebab
458,Pura Italia,109,3.2,1.9,35–55,Pizza,€,"Calle De Antonio López 109,  28026",Carabanchel,Pizza
459,Pollo Criollo,26,3.0,2.4,50–60,Pollo,€,"Calle De Juan Pascual De Mena 7, 28011",Carabanchel,Pollo
460,Maha Kebab,11,4.3,2.4,20–30,Kebab,€,"Plaza De La Cebada, 10, 28005",Carabanchel,Kebab
461,Taberna La Buha,24,4.2,2.4,60–70,Mediterránea,€,"Calle Mirasierra, 37, 28026",Carabanchel,Mediterránea
462,Pizza Mirasierra,17,4.2,2.4,30–40,Pizza,€,"Calle De San Andrés, 31, 28004",Carabanchel,Pizza
463,Pic & Nic,200,4.4,3.9,60–70,SouthAmerica,€,"Calle De Marcelo Usera 135,  28026",Carabanchel,SouthAmerica
464,Pizz-a-porter,26,3.0,1.9,30–40,Pizza,€,"Calle De Don Pedro 11, 28005",Carabanchel,Pizza
465,Tabaxo - Don Pedro,26,3.0,2.4,50–60,Dulce,€,"Paseo De Los Pontones, 24, 28005",Carabanchel,Dulce
466,Taberna Piedra Pinta,26,3.0,1.9,45–55,India,€,"Calle Vía Carpetana, 226, 28047",Carabanchel,India
467,Dinos Bar Kebab,26,3.0,2.5,40–60,Kebab,€,"Av. Oporto, 89, 28025",Carabanchel,Kebab
468,Gran Oporto Kebab,29,3.7,1.4,25–35,Kebab,€,"Glorieta De Embajadores 4, 28012",Carabanchel,Kebab
469,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Calle Vía Carpetana 81,  28047",Carabanchel,Kebab
470,Bar y Kebab La Parada,23,3.0,1.4,15–25,Kebab,€,"Calle De Embajadores, 28, 28012",Carabanchel,Kebab
471,Éccolo,28,4.2,2.4,50–60,Mediterránea,€,"Calle De La Ruda, 5, 28005",Carabanchel,Mediterránea
472,Malacatin,19,4.9,1.9,45–55,Pizza,€,"Calle De Melilla, 47, 28005",Carabanchel,Pizza
473,Le Crust,25,4.4,2.5,40–60,Hamburguesa,€,"Paseo De Los Melancólicos 7,  28005",Carabanchel,Hamburguesa
474,Toro Burger Lounge,27,4.1,1.4,25–35,Hamburguesa,€,"Plaza De Cascorro, 16,  28005",Carabanchel,Hamburguesa
475,Cor & Cor,11,4.3,2.9,30–40,Dulce,€,"Calle Campo De La Paloma 32,  28018",Carabanchel,Dulce
476,Arepa Mix,38,3.9,1.4,15–25,SouthAmerica,€,"Calle De Ferroviarios 98,  28026",Carabanchel,SouthAmerica
477,Bocadillos Ole,23,3.0,2.4,60–70,Mediterránea,€,"Calle De Dolores Barranco, 88, 28026",Carabanchel,Mediterránea
478,IGo Pasta,89,4.5,2.4,30–40,Pizza,€€,"Calle De Santa Isabel, 5, 28012",Carabanchel,Pizza
479,Yokaloka,23,3.6,3.9,60–70,Asiática,€€€,"Calle De Jaime Vera 12,  28011",Carabanchel,Asiática
480,Burger Las Vegas,23,3.6,1.9,30–40,Hamburguesa,€,"Calle De Antonio López 109,  28026",Carabanchel,Hamburguesa
481,Alice Pizza,23,3.6,2.4,50–60,Pizza,€,"Calle De Cáceres 5, 28045",Carabanchel,Pizza
482,Herbívoro,23,3.6,1.9,45–55,Carne,€€€,"Paseo De Los Melancolicos 7,  28005",Carabanchel,Carne
483,La Manousheria,23,3.6,2.5,40–60,Dulce,€,"Calle De Los Yébenes 150,  28047",Carabanchel,Dulce
484,Popizza,23,3.6,0.9,30–40,Pollo,€,"Calle De Marcelo Usera 12,  28026",Carabanchel,Pollo
485,Asador de Pollos,23,3.6,2.5,40–60,Pollo,€,"C/ General Ricardos, 159 , 28025",Carabanchel,Pollo
486,Papa John's,200,4.3,0.9,30–40,Pizza,€,"Calle De Embajadores, 14 ,  28012",Usera,Pizza
487,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Calle De Matilde Hernández 90, 28025",Usera,Pizza
488,Restaurante Sabor K-Tracho,23,3.6,1.4,35–45,Tienda,€,"Calle Del Gral. Ricardos, 92,  28019",Usera,Tienda
489,Autoservicio,77,4.8,0.9,15–25,Tienda,€,"Av. Del Manzanares, 210, 28026",Usera,Tienda
490,Little Caesars Pizza,200,4.6,1.4,40–50,Pizza,€,"Calle De Cáceres 1,  28045",Usera,Pizza
491,Comida china yonghe,50,4.3,2.4,40–50,China,€€€,"Calle De La Alianza 33,  28041",Usera,China
492,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Paseo Del Doctor Vallejo Nágera, 25, 28005",Usera,China
493,Papa John's,200,4.3,2.4,30–40,Pizza,€,"Avenida De Oporto 14, 28019",Usera,Pizza
494,TROPICALISSIMA,84,4.4,1.4,30–40,Hamburguesa,€,"Calle Azabache, 6, 28019",Usera,Hamburguesa
495,Super Dog,25,3.7,1.4,30–50,Hamburguesa,€,"Calle Del Gral. Ricardos, 92,  28019",Usera,Hamburguesa
496,Autoservicio,77,4.8,2.4,30–40,Tienda,€,"Avenida De Orovilla 46, 28041",Usera,Tienda
497,Burger 123,15,4.3,2.4,45–55,Hamburguesa,€,"C/ Ejos 15, 28026",Usera,Hamburguesa
498,Pollo Rico Al carbón,68,4.5,0.9,40–50,Pollo,€,"Calle Cáceres, 34, 28045",Usera,Pollo
499,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle De Moncada 122,  28021",Usera,Pizza
500,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Paseo De Santa María De La Cabeza, 86, 28045",Usera,Pollo
501,Beiben,14,4.2,1.9,30–40,Mediterránea,€,"Calle De Guetaria 72,  28041",Usera,Mediterránea
502,Pasta con todo 🍝,23,3.6,1.4,40–50,Pizza,€,"Calle De Antonio López 109,  28026",Usera,Pizza
503,Pollo Criollo,23,3.6,1.4,45–55,Pollo,€,"Av. De Andalucía, 19, 28041",Usera,Pollo
504,McDonald's,200,4.1,1.9,20–30,Hamburguesa,€,"Calle De La Antracita 12,  28045",Usera,Hamburguesa
505,Empanadas Malvón,31,5.0,1.9,35–45,Empanada,€,"Calle Mirasierra, 37, 28026",Usera,Empanada
506,Pizza Mirasierra,17,4.2,1.4,20–30,Pizza,€,"Calle Arechavaleta 6,  28041",Usera,Pizza
507,Pura Italia,109,3.2,1.9,35–55,Pizza,€,"Travesía Arechavaleta 4,  28041",Usera,Pizza
508,"Aqua, Farina e Forno",17,2.9,1.9,10–30,Pizza,€,"Calle Ariel,15,  28045",Usera,Pizza
509,El Buen Gusto,17,4.5,2.4,50–60,Mediterránea,€,"Calle De Marcelo Usera 135,  28026",Usera,Mediterránea
510,Pizz-a-porter,23,3.6,0.9,25–35,Pizza,€,"Calle De Palos De La Frontera 38,  28045",Usera,Pizza
511,La Pizza é Bella,12,4.5,2.9,40–50,Pizza,€,"Paseo Del Molino, 1, 28045",Usera,Pizza
512,Kebab Nemrut,81,4.3,1.9,25–35,Kebab,€,"Calle Vía Carpetana, 226, 28047",Usera,Kebab
513,Dinos Bar Kebab,23,3.6,2.5,40–60,Kebab,€,"Glorieta De Embajadores 4, 28012",Usera,Kebab
514,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Av. Oporto, 89, 28025",Usera,Kebab
515,Gran Oporto Kebab,29,3.7,2.9,35–45,Kebab,€,"Calle De José Antonio De Armona 12,  28012",Usera,Kebab
516,Ramen Kagura,23,3.6,1.4,45–55,Ensaladas,€,"Calle De Tarragona 36,  28045",Usera,Ensaladas
517,RAVIOLUZIONE,40,4.2,1.9,20–30,Pizza,€,"Calle De Melilla, 47, 28005",Usera,Pizza
518,Le Crust,25,4.4,1.9,35–45,Hamburguesa,€,"Calle Campo De La Paloma 32,  28018",Usera,Hamburguesa
519,Arepa Mix,38,3.9,1.4,20–30,SouthAmerica,€,"Centro Comercial Plaza Rio 2, 28026",Usera,SouthAmerica
520,Llaollao,39,4.4,1.9,35–55,Gourmet,€,"Calle De Ferroviarios 98,  28026",Usera,Gourmet
521,Bocadillos Ole,23,3.6,1.9,10–30,Mediterránea,€,"Calle De Dolores Barranco, 88, 28026",Usera,Mediterránea
522,IGo Pasta,89,4.5,2.4,50–60,Pizza,€€,"Calle De Santa Isabel, 5, 28012",Usera,Pizza
523,Yokaloka,23,3.6,0.9,25–35,Asiática,€€€,"Calle De La Antracita, 10, 28045",Usera,Asiática
524,Cantina Canalla,24,4.2,2.9,40–50,SouthAmerica,€,"Paseo De Santa María De La Cabeza, 60, 28012",Usera,SouthAmerica
525,Órale burrito,23,3.6,1.9,25–35,Burritos,€,"Calle De Antonio López 109,  28026",Usera,Burritos
526,Alice Pizza,23,3.6,2.5,40–60,Pizza,€,"Calle De Méndez Álvaro 77,  28045",Usera,Pizza
527,Tasty Poke,178,4.6,2.9,30–40,Poke,€,"Calle De Cáceres 5, 28045",Usera,Poke
528,Herbívoro,23,3.6,1.4,45–55,Carne,€€€,"Calle De Lillo 1,  28041",Usera,Carne
529,Abaco Taberna,23,3.6,1.9,20–30,Ensaladas,€,"Calle Del Áncora 26,  28045",Usera,Ensaladas
530,Sésamo,23,3.6,1.9,35–45,Pollo,€,"Calle De Marcelo Usera 12,  28026",Usera,Pollo
531,Asador de Pollos,23,3.6,1.4,20–30,Pollo,€,"Calle De Cardeñosa 42, 28053",Usera,Pollo
532,Mac2Pic2,23,3.6,1.9,35–55,SouthAmerica,€,"Marcelo Usera 12, 28026",Usera,SouthAmerica
533,Asador de Pollos,23,3.6,1.9,10–30,Pollo,€,"Calle Alférez Juan Usera, 34,  28019",Usera,Pollo
534,Cheff oriental,23,3.6,2.4,50–60,SouthAmerica,€,"Paseo De Santa María De La Cabeza 32,  28045",Usera,SouthAmerica
535,Kaleka Poke,23,3.6,0.9,25–35,Kebab,€,"Paseo Molino, 7, 28045",Usera,Kebab
536,Pizzeria Roberto,33,4.2,2.9,40–50,Pizza,€,"Calle De José Antonio De Armona 7,  28012",Usera,Pizza
537,Pui's Thai tapas,43,4.6,1.9,25–35,Comida rápida,€,"Calle Sallaberry, 101, 28019",Usera,Comida rápida
538,Comida China Feliz,200,4.4,2.5,40–60,China,€,"Avenida De Palomeras 150 , 28018",Usera,China
539,Merecumbe,100,4.3,2.9,30–40,SouthAmerica,€,"Calle De Embajadores, 12 ,  28045",Usera,SouthAmerica
540,TUTTO PASTA!,26,2.8,2.9,35–45,Pizza,€,"Avenida De Rafaela Ybarra 37,  28026",Puente de Vallecas,Pizza
541,Perla del Pacifico,66,4.1,0.9,30–40,SouthAmerica,€€€,"Calle De Matilde Hernández 90, 28025",Puente de Vallecas,SouthAmerica
542,Restaurante Sabor K-Tracho,23,3.6,2.4,40–50,Pollo,€,"Av. De La Albufera, 91, 28053",Puente de Vallecas,Pollo
543,Precio Calidad y sabor,17,4.4,2.0,40–60,Mediterránea,€,"Calle De La Alianza 33,  28041",Puente de Vallecas,Mediterránea
544,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas,China
545,On Rush,14,4.8,1.4,40–50,Burritos,€,"Calle Azabache, 6, 28019",Puente de Vallecas,Burritos
546,Super Dog,25,3.7,2.49,30–50,Hamburguesa,€,"Calle Del Pico De La Maliciosa 6,  28038",Puente de Vallecas,Hamburguesa
547,Bur Burger,50,4.4,2.49,50–70,Hamburguesa,€,"Avenida De La Albufera, 40,  28038",Puente de Vallecas,Hamburguesa
548,El Sabroso Albufera,30,3.9,1.4,20–30,Comida rápida,€,"Calle Monederos 12,  28026",Puente de Vallecas,Comida rápida
549,Precio Calidad y sabor,17,4.4,2.0,40–60,Mediterránea,€,"Avenida De La Albufera 119,  28038",Puente de Vallecas,Mediterránea
550,Kebab Rayo,117,3.8,0.9,25–35,Kebab,€,"Calle De Moncada 122,  28021",Puente de Vallecas,Kebab
551,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Av. Pablo Neruda, 91, 28018",Puente de Vallecas,Pollo
552,McDonald's,200,4.1,0.9,15–25,Hamburguesa,€,"Av. De La Albufera, 20, 28053",Puente de Vallecas,Hamburguesa
553,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De La Antracita 12,  28045",Puente de Vallecas,Pollo
554,Empanadas Malvón,31,5.0,2.4,40–50,Empanada,€,"Calle Del Puerto De Balbarán 31,  28018",Puente de Vallecas,Empanada
555,Kebab Entrevias,43,4.5,1.4,25–35,Kebab,€,"Calle Arechavaleta 6,  28041",Puente de Vallecas,Kebab
556,Pura Italia,109,3.2,1.9,35–55,Pizza,€,"Calle Ariel,15,  28045",Puente de Vallecas,Pizza
557,El Buen Gusto,17,4.5,1.9,45–55,Mediterránea,€,"Calle De Benjamín Palencia, 32,  28038",Puente de Vallecas,Mediterránea
558,Poke Ukelele,68,4.2,1.9,45–65,Poke,€,"Av. Del Mediterráneo, 30, 28009",Puente de Vallecas,Poke
559,Mahalo Poke,23,3.6,2.5,30–50,Poke,€€,"Calle Del Camino De Los Vinateros, 22, 28030",Puente de Vallecas,Poke
560,Ankara Doner Kebab,38,4.3,2.4,40–50,Kebab,€,"Av. De Entrevías, 58, 28053",Puente de Vallecas,Kebab
561,Shaurma House,26,4.3,1.9,20–30,Pollo,€,"Avenida Del Monte Igueldo 36,  28053",Puente de Vallecas,Pollo
562,Istanbul Kebab Madrid,23,3.6,1.4,30–40,Kebab,€,"Av Del Monte Igueldo, 36, 28053",Puente de Vallecas,Kebab
563,Kebab Vallecano,12,4.0,1.4,30–40,Kebab,€,"Calle De Benadalid 6,  28018",Puente de Vallecas,Kebab
564,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€,"Calle De Peña De La Atalaya, 86, 28053",Puente de Vallecas,Pollo
565,Entrecarbón,23,3.6,1.9,20–30,Carne,€€€,C/ Felipe Fraile 5 28038,Puente de Vallecas,Carne
566,Pizzamarket,30,4.8,1.9,20–30,Pizza,€,"Av. Del Mediterráneo, 21, 28007",Puente de Vallecas,Pizza
567,Twin Pizza Mediterráneo,17,4.2,1.9,20–30,India,€,"Avenida Pablo Neruda 108,  28018",Puente de Vallecas,India
568,Panda Sushi,133,4.4,1.9,20–30,Asiática,€€,"Calle De Arias Montano, 42, 28007",Puente de Vallecas,Ensaladas
569,Acqua in Bocca,36,4.3,1.9,20–30,Comida rápida,€,"Calle Campo De La Paloma 32,  28018",Puente de Vallecas,Comida rápida
570,Arepa Mix,38,3.9,1.9,20–30,SouthAmerica,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas,SouthAmerica
571,THE SCHNITZEL BOSS,23,3.6,1.9,20–30,SouthAmerica,€,"Calle Del Pico De La Maliciosa 6,  28038",Puente de Vallecas,SouthAmerica
572,Frida Burritos,47,4.5,1.9,20–30,Burritos,€,"Calle De Ferroviarios 98,  28026",Puente de Vallecas,Burritos
573,Bocadillos Ole,23,3.6,1.9,20–30,Mediterránea,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas,Mediterránea
574,Ceviches Marakaza,23,3.6,1.4,30–40,SouthAmerica,€,"Avenida Pablo Neruda, 96 , 28018",Puente de Vallecas,SouthAmerica
575,Burger Town,23,3.6,1.4,30–40,Hamburguesa,€,"Calle Del Puerto Canfranc, 42, 28038",Puente de Vallecas,Hamburguesa
576,Comida Fusión,19,3.7,1.4,30–40,Gourmet,€€€,"Avenida De Peña Prieta 22,  28038",Puente de Vallecas,Gourmet
577,SUKAO FOOD FUSION,60,3.6,1.4,30–40,Asiática,€€€,"Calle De Santa Isabel, 5, 28012",Puente de Vallecas,Asiática
578,Yokaloka,60,3.6,1.4,30–40,Asiática,€€€,"Calle De La Antracita, 10, 28045",Puente de Vallecas,Asiática
579,Cantina Canalla,24,4.2,1.4,30–40,SouthAmerica,€,"Calle De La Cruz Del Sur 5,  28007",Puente de Vallecas,SouthAmerica
580,BURRITOS & TACOS,86,3.5,1.4,25–35,Burritos,€,"Avenida Peña Prieta 50,  28038",Puente de Vallecas,Burritos
581,Asador Delicasa,14,4.0,1.4,25–35,Carne,€,"Calle De Gutenberg 3, 28014",Puente de Vallecas,Carne
582,Waiwai Fusion Poke Atocha,32,4.7,1.4,25–35,Tienda,€,"Calle De Méndez Álvaro 77,  28045",Puente de Vallecas,Tienda
583,Tasty Poke,178,4.6,1.4,25–35,Poke,€,"Av. Pablo Neruda, 91, 28018",Puente de Vallecas,Poke
584,Don Tortilla,24,4.1,1.4,25–35,Ensaladas,€,"Calle De Cáceres 5, 28045",Puente de Vallecas,Ensaladas
585,Herbívoro,60,3.8,1.4,25–35,Carne,€€€,"Avenida De Buenos Aires 63,  28018",Puente de Vallecas,Carne
586,Kebab Turca,60,3.8,1.4,25–35,Kebab,€,"Calle De Cardeñosa 42, 28053",Puente de Vallecas,Kebab
587,Mac2Pic2,60,3.8,1.4,25–35,SouthAmerica,€,"Av. De La Albufera, 226, 28018",Puente de Vallecas,SouthAmerica
588,Ateshgah Albufera,60,3.8,1.4,25–35,Mediterránea,€,"Avenida Pablo Neruda, 96 , 28018",Puente de Vallecas,Mediterránea
589,Superbestia,60,3.8,1.4,25–35,Pizza,€,"Paseo Molino, 7, 28045",Puente de Vallecas,Pizza
590,Pizzeria Roberto,33,4.2,1.4,25–35,Pizza,€,"Avenida De Palomeras 150 , 28018",Puente de Vallecas,Pizza
591,Merecumbe,100,4.3,1.4,25–35,SouthAmerica,€,"Calle De Ferroviarios 98,  28026",Puente de Vallecas,SouthAmerica
592,Mr Patata,60,3.8,1.4,25–35,Pollo,€,"Calle De Lituania 6,  28030",Puente de Vallecas,Pollo
593,Dragón,60,3.8,1.4,25–35,Pizza,€,"Calle De Embajadores, 12 ,  28045",Puente de Vallecas,Pizza
594,TUTTO PASTA!,26,2.8,2.6,40–60,Pizza,€,"Av. De La Albufera, 226, 28018",Moratalaz,Pizza
595,Papa John's,200,4.4,1.4,25–35,Pizza,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz,Pizza
596,Streat Lab,50,4.6,2.49,50–70,Pollo,€,"Av. De La Albufera, 91, 28053",Moratalaz,Pollo
597,Pizz-a-porter,60,3.8,0.9,35–45,Pizza,€,"Calle De La Alianza 33,  28041",Moratalaz,Pizza
598,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz,China
599,Streat Lab,50,4.6,1.9,40–50,Pollo,€,"Calle Felipe Fraile 5,  28038",Moratalaz,Pollo
600,On Rush,14,4.8,2.4,45–55,Burritos,€,"Av. De La Albufera, 91, 28053",Moratalaz,Burritos
601,Pizz-a-porter,60,3.8,1.9,45–55,Pizza,€,"Calle De Berastegui 24,  28017",Moratalaz,Pizza
602,Perla del Pacifico,30,4.3,2.4,40–50,SouthAmerica,€€€,"Avenida De La Albufera, 40,  28038",Moratalaz,SouthAmerica
603,El Sabroso Albufera,30,3.9,2.4,25–35,Comida rápida,€,"Calle Manuel Machado, 6, 28030",Moratalaz,Comida rápida
604,McDonald's,200,4.2,1.9,30–40,Hamburguesa,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz,Hamburguesa
605,Bur Burger,50,4.4,1.9,40–50,Hamburguesa,€,"Calle Azulejo 2,  28028",Moratalaz,Hamburguesa
606,Empanadas BAIRES,60,3.8,2.9,45–55,Empanada,€,"Calle Esteban Collantes, 31,  28017",Moratalaz,Empanada
607,Croqueteria Focos,60,3.8,2.9,35–45,Mediterránea,€,"Calle De Gonzalo De Berceo 63,  28017",Moratalaz,Mediterránea
608,Asador Perla del Pacifico Ascao,39,4.6,2.4,40–50,Carne,€,"Av. De La Albufera, 20, 28053",Moratalaz,Carne
609,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Avenida De La Albufera 119,  28038",Moratalaz,Pollo
610,Kebab Rayo,117,3.8,1.9,35–45,Kebab,€,"Paseo Del Marqués De Zafra 38, 28028",Moratalaz,Kebab
611,DIVE`S FOOD,60,3.8,2.4,45–55,Hamburguesa,€,"Calle De Julián Camarillo 47,  28037",Moratalaz,Hamburguesa
612,Pic & Nic,200,4.5,3.4,30–40,SouthAmerica,€,"Calle De Benjamín Palencia, 32,  28038",Moratalaz,SouthAmerica
613,Poke Ukelele,68,4.2,3.4,45–65,Poke,€,"Av. De Moratalaz, 137, 28030",Moratalaz,Poke
614,Kebab moratalaz,60,3.8,1.4,30–40,Kebab,€,"Av. Del Mediterráneo, 30, 28009",Moratalaz,Kebab
615,Mahalo Poke,60,3.8,2.5,30–50,Poke,€€,"Av. Del Marqués De Corbera, 40, 28017",Moratalaz,Poke
616,Bar el castaño,60,3.8,2.4,35–45,Mediterránea,€,"Calle Del Camino De Los Vinateros, 22, 28030",Moratalaz,Mediterránea
617,Ankara Doner Kebab,38,4.3,1.9,30–40,Kebab,€,"Avenida Del Monte Igueldo 36,  28053",Moratalaz,Kebab
618,Istanbul Kebab Madrid,60,3.8,2.4,40–50,Kebab,€,"Calle De Benadalid 6,  28018",Moratalaz,Kebab
619,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€,"Av Del Monte Igueldo, 36, 28053",Moratalaz,Pollo
620,Kebab Vallecano,12,4.0,2.4,40–50,Kebab,€,"Calle De Ezequiel Solana, 52, 28017",Moratalaz,Kebab
621,Da Yuan,200,4.4,2.4,40–50,Comida rápida,€,C/ Felipe Fraile 5 28038,Moratalaz,Comida rápida
622,Pizzamarket,30,4.8,2.4,40–50,Pizza,€,"Calle De Ricardo Ortiz, 20, 28017",Moratalaz,Pizza
623,Tennessee BBQ,77,4.8,2.4,40–50,Pizza,€,"Calle De Zabaleta 1, 28002",Moratalaz,Pizza
624,Napoli Gang by Bel Mondo,200,4.6,2.4,40–50,Pizza,€,"Av. Del Mediterráneo, 21, 28008",Moratalaz,Pizza
625,Twin Pizza Mediterráneo,17,4.2,2.4,40–50,India,€,"Calle Francisco Villaespesa, 6, 28017",Moratalaz,India
626,Mother india,37,4.3,2.4,40–50,China,€,"Avenida Pablo Neruda 108,  28018",Moratalaz,China
627,Panda Sushi,133,4.4,2.4,40–50,Asiática,€,"Calle Del Vizconde De Matamala 5,  28028",Moratalaz,Ensaladas
628,Clásico Argentino 🇦🇷,41,4.5,2.4,40–50,Empanada,€€,"Calle De Arias Montano, 42, 28007",Moratalaz,Empanada
629,Acqua in Bocca,36,4.3,2.4,40–50,Comida rápida,€,"Calle Buen Gobernador, 6,  28027",Moratalaz,Comida rápida
630,Happy Burger,90,4.3,2.4,40–50,Hamburguesa,€,"Calle Campo De La Paloma 32,  28018",Moratalaz,Hamburguesa
631,Arepa Mix,38,3.9,2.4,40–50,SouthAmerica,€,"Calle Felipe Fraile 5,  28038",Moratalaz,SouthAmerica
632,THE SCHNITZEL BOSS,60,3.8,2.4,40–50,SouthAmerica,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz,SouthAmerica
633,Frida Burritos,47,4.5,2.4,40–50,Burritos,€,"Calle De Gandhi 71, 28017",Moratalaz,Burritos
634,Veg&Bite,12,4.9,2.4,40–50,Dulce,€,"Calle Felipe Fraile 5,  28038",Moratalaz,Dulce
635,Ceviches Marakaza,60,3.8,2.4,40–50,SouthAmerica,€,"Calle Del Vizconde De Matamala 5,  28028",Moratalaz,SouthAmerica
636,Sushi Not Sorry,60,3.8,2.4,40–50,Asiática,€,"Calle De Maiquez 50,  28009",Moratalaz,Asiática
637,Nagasaki Sushi Retiro,60,3.8,2.4,40–50,China,€,"Calle Del Puerto Canfranc, 42, 28038",Moratalaz,China
638,Comida Fusión,19,3.7,2.4,40–50,Gourmet,€€€,"Avenida De Peña Prieta 22,  28038",Moratalaz,Gourmet
639,SUKAO FOOD FUSION,60,3.8,2.5,40–60,Asiática,€€€,"Zabaleta 1,  28002",Moratalaz,Asiática
640,Nola Smoke,199,4.2,2.5,40–60,Comida rápida,€,"Calle De La Cruz Del Sur 5,  28007",Moratalaz,Comida rápida
641,BURRITOS & TACOS,86,3.5,2.5,40–60,Burritos,€,"Avenida Peña Prieta 50,  28038",Moratalaz,Burritos
642,Asador Delicasa,14,4.0,2.5,40–60,Carne,€,"Fuente Carrantona 24, 28030",Moratalaz,Carne
643,TGB,174,3.9,2.5,40–60,Hamburguesa,€,"Avenida Unión Europea 5,  28850",Moratalaz,Hamburguesa
644,Ágora Torrejón,60,3.8,2.5,40–60,Asiática,€,"Avenida De Buenos Aires 63,  28018",Moratalaz,Asiática
645,Kebab Turca,60,3.8,2.5,40–60,Kebab,€,"Av. De La Albufera, 226, 28018",Moratalaz,Kebab
646,Ateshgah Albufera,60,3.8,2.5,40–60,Mediterránea,€,"Avenida Pablo Neruda, 96 , 28018",Moratalaz,Mediterránea
647,Superbestia,60,3.8,2.5,40–60,Pizza,€,"Calle De Embajadores, 12 ,  28045",Moratalaz,Pizza
648,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Alcalde Luis De Marichala 3, 28030",Ciudad Lineal,Pizza
649,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle Azulejo 2,  28028",Ciudad Lineal,Pizza
650,Pizzería Argentina El Trébol,60,3.8,2.9,45–55,Pizza,€,"Calle De La Alianza 33,  28041",Ciudad Lineal,Pizza
651,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal,China
652,El Burrito Borracho,60,2.7,2.9,40–50,Burritos,€,"Calle Azulejo 2,  28028",Ciudad Lineal,Burritos
653,Pizzería Argentina El Trébol,60,2.7,1.9,40–50,Pizza,€,"Calle De Berastegui 24,  28017",Ciudad Lineal,Pizza
654,Perla del Pacifico,30,4.3,1.4,35–45,SouthAmerica,€€€,"Calle De La Alianza 33,  28041",Ciudad Lineal,SouthAmerica
655,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26, 28017",Ciudad Lineal,China
656,El Burrito Borracho,60,2.7,1.4,30–40,Burritos,€,"Calle De José Ortega Y Gasset 94, 28006",Ciudad Lineal,Burritos
657,Empanadas Malvón,48,4.9,1.9,25–35,Empanada,€,"Calle Azulejo 2,  28028",Ciudad Lineal,Empanada
658,Empanadas BAIRES,60,2.7,1.9,40–50,Empanada,€,"López De Hoyos , 153, 28224",Ciudad Lineal,Empanada
659,Popeyes,200,4.4,1.9,35–45,Pollo,€,"Alcala 191, 28006",Ciudad Lineal,Pollo
