,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio
492,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Paseo Del Doctor Vallejo Nágera, 25, 28005",Usera
493,Papa John's,200,4.3,2.40,30–40,Pizza,€,"Avenida De Oporto 14, 28019",Usera
494,TROPICALISSIMA,84,4.4,1.40,30–40,Alcohol,€€€,"Calle Azabache, 6, 28019",Usera
495,Super Dog,25,3.7,1.40,30–50,Hamburguesas,€,"Calle Del Gral. Ricardos, 92,  28019",Usera
496,Autoservicio,77,4.8,2.40,30–40,Tienda,€,"Avenida De Orovilla 46, 28041",Usera
497,Burger 123,15,4.3,2.40,45–55,Hamburguesas,€,"C/ Ejos 15, 28026",Usera
498,Pollo Rico Al carbón,68,4.5,0.90,40–50,Pollo,€,"Calle Cáceres, 34, 28045",Usera
499,Ristorante Pizzería Dante,61,4.1,2.40,45–55,Pizza,€,"Calle De Moncada 122,  28021",Usera
500,Pollos a la brasa el Corral,31,4.6,3.00,30–50,Pollo,€,"Paseo De Santa María De La Cabeza, 86, 28045",Usera
501,Beiben,14,4.2,1.90,30–40,Tapas,€,"Calle De Guetaria 72,  28041",Usera
502,Pasta con todo 🍝,23,3.6,1.40,40–50,Italiana,€,"Calle De Antonio López 109,  28026",Usera
503,Pollo Criollo,23,3.6,1.40,45–55,Pollo,€,"Av. De Andalucía, 19, 28041",Usera
504,McDonald's,200,4.1,1.90,20–30,Hamburguesas,€,"Calle De La Antracita 12,  28045",Usera
505,Empanadas Malvón,31,5.0,1.90,35–45,Empanada,€,"Calle Mirasierra, 37, 28026",Usera
506,Pizza Mirasierra,17,4.2,1.40,20–30,Pizza,€,"Calle Arechavaleta 6,  28041",Usera
507,Pura Italia,109,3.2,1.90,35–55,Italiana,€,"Travesía Arechavaleta 4,  28041",Usera
508,"Aqua, Farina e Forno",17,2.9,1.90,10–30,Pasta,€,"Calle Ariel,15,  28045",Usera
509,El Buen Gusto,17,4.5,2.40,50–60,Bar Food,€,"Calle De Marcelo Usera 135,  28026",Usera
510,Pizz-a-porter,23,3.6,0.90,25–35,Pizza,€,"Calle De Palos De La Frontera 38,  28045",Usera
511,La Pizza é Bella,12,4.5,2.90,40–50,Pizza,€,"Paseo Del Molino, 1, 28045",Usera
512,Kebab Nemrut,81,4.3,1.90,25–35,Kebab,€,"Calle Vía Carpetana, 226, 28047",Usera
513,Dinos Bar Kebab,23,3.6,2.50,40–60,Kebab,€,"Glorieta De Embajadores 4, 28012",Usera
514,GALAXY KEBAB,17,4.5,2.90,30–40,Kebab,€,"Av. Oporto, 89, 28025",Usera
515,Gran Oporto Kebab,29,3.7,2.90,35–45,Kebab,€€,"Calle De José Antonio De Armona 12,  28012",Usera
516,Ramen Kagura,23,3.6,1.40,45–55,Comida reconfortante,€,"Calle De Tarragona 36,  28045",Usera
517,RAVIOLUZIONE,40,4.2,1.90,20–30,Pizza,€,"Calle De Melilla, 47, 28005",Usera
518,Le Crust,25,4.4,1.90,35–45,Hamburguesas,€,"Calle Campo De La Paloma 32,  28018",Usera
519,Arepa Mix,38,3.9,1.40,20–30,Venezolana,€,"Centro Comercial Plaza Rio 2, 28026",Usera
520,Llaollao,39,4.4,1.90,35–55,Gourmet,€€,"Calle De Ferroviarios 98,  28026",Usera
521,Bocadillos Ole,23,3.6,1.90,10–30,Bocadillo,€,"Calle De Dolores Barranco, 88, 28026",Usera
522,IGo Pasta,89,4.5,2.40,50–60,Italiana,€,"Calle De Santa Isabel, 5, 28012",Usera
523,Yokaloka,23,3.6,0.90,25–35,Tapas y raciones,€,"Calle De La Antracita, 10, 28045",Usera
524,Cantina Canalla,24,4.2,2.90,40–50,De Latinoamérica,€,"Paseo De Santa María De La Cabeza, 60, 28012",Usera
525,Órale burrito,23,3.6,1.90,25–35,Burritos,€€,"Calle De Antonio López 109,  28026",Usera
526,Alice Pizza,23,3.6,2.50,40–60,Pizza,€,"Calle De Méndez Álvaro 77,  28045",Usera
527,Tasty Poke,178,4.6,2.90,30–40,Poke,€,"Calle De Cáceres 5, 28045",Usera
528,Herbívoro,23,3.6,1.40,45–55,Parrilla,€,"Calle De Lillo 1,  28041",Usera
529,Abaco Taberna,23,3.6,1.90,20–30,Con opciones veganas,€,"Calle Del Áncora 26,  28045",Usera
530,Sésamo,23,3.6,1.90,35–45,Pollo,€,"Calle De Marcelo Usera 12,  28026",Usera
531,"Asador de pollos ""LA WISLLA""",23,3.6,1.40,20–30,Carne,€,"Calle De Cardeñosa 42, 28053",Usera
532,Mac2Pic2,23,3.6,1.90,35–55,Boliviana,€,"Marcelo Usera 12, 28026",Usera
533,Asador de Pollos,23,3.6,1.90,10–30,Pollo,€,"Calle Alférez Juan Usera, 34,  28019",Usera
534,Cheff oriental,23,3.6,2.40,50–60,Asiatica,€,"Paseo De Santa María De La Cabeza 32,  28045",Usera
535,Kaleka Poke,23,3.6,0.90,25–35,Kebab,€,"Paseo Molino, 7, 28045",Usera
536,Pizzeria Roberto,33,4.2,2.90,40–50,Pizza,€,"Calle De José Antonio De Armona 7,  28012",Usera
537,Pui's Thai tapas,43,4.6,1.90,25–35,Comida rápida,€,"Calle Sallaberry, 101, 28019",Usera
538,Comida China Feliz,200,4.4,2.50,40–60,China,€,"Avenida De Palomeras 150 , 28018",Usera
539,Merecumbe,100,4.3,2.90,30–40,Venezolana,€,"Calle De Embajadores, 12 ,  28045",Usera
540,TUTTO PASTA!,26,2.8,2.90,35–45,Alcohol,€,"Avenida De Rafaela Ybarra 37,  28026",Puente de Vallecas
541,Perla del Pacifico,66,4.1,0.90,30–40,Mediterránea,€,"Calle De Matilde Hernández 90, 28025",Puente de Vallecas
542,Restaurante Sabor K-Tracho,23,3.6,2.40,40–50,Pollo,€,"Av. De La Albufera, 91, 28053",Puente de Vallecas
543,Precio Calidad y sabor,17,4.4,2.00,40–60,Bar Food,€€€,"Calle De La Alianza 33,  28041",Puente de Vallecas
544,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas
545,On Rush,14,4.8,1.40,40–50,Burritos,€€€,"Calle Azabache, 6, 28019",Puente de Vallecas
546,Super Dog,25,3.7,2.49,30–50,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,  28038",Puente de Vallecas
547,Bur Burger,50,4.4,2.49,50–70,Hamburguesas,€,"Avenida De La Albufera, 40,  28038",Puente de Vallecas
548,El Sabroso Albufera,30,3.9,1.40,20–30,Comida rápida,€,"Calle Monederos 12,  28026",Puente de Vallecas
549,Precio Calidad y sabor,17,4.4,2.00,40–60,Bar Food,€,"Avenida De La Albufera 119,  28038",Puente de Vallecas
550,Kebab Rayo,117,3.8,0.90,25–35,Kebab,€,"Calle De Moncada 122,  28021",Puente de Vallecas
551,Pollos a la brasa el Corral,31,4.6,3.00,30–50,Pollo,€,"Av. Pablo Neruda, 91, 28018",Puente de Vallecas
552,McDonald's,200,4.1,0.90,15–25,Hamburguesas,€,"Av. De La Albufera, 20, 28053",Puente de Vallecas
553,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De La Antracita 12,  28045",Puente de Vallecas
554,Empanadas Malvón,31,5.0,2.40,40–50,Empanada,€€,"Calle Del Puerto De Balbarán 31,  28018",Puente de Vallecas
555,Kebab Entrevias,43,4.5,1.40,25–35,Kebab,€,"Calle Arechavaleta 6,  28041",Puente de Vallecas
556,Pura Italia,109,3.2,1.90,35–55,Italiana,€,"Calle Ariel,15,  28045",Puente de Vallecas
557,El Buen Gusto,17,4.5,1.90,45–55,Bar Food,€,"Calle De Benjamín Palencia, 32,  28038",Puente de Vallecas
558,Poke Ukelele,68,4.2,1.90,45–65,Poke,€,"Av. Del Mediterráneo, 30, 28009",Puente de Vallecas
559,Mahalo Poke,23,3.6,2.50,30–50,Poke,€€,"Calle Del Camino De Los Vinateros, 22, 28030",Puente de Vallecas
560,Ankara Doner Kebab,38,4.3,2.40,40–50,Kebab,€,"Av. De Entrevías, 58, 28053",Puente de Vallecas
561,Shaurma House,26,4.3,1.90,20–30,Pollo,€,"Avenida Del Monte Igueldo 36,  28053",Puente de Vallecas
562,Istanbul Kebab Madrid,23,3.6,1.40,30–40,Asiática,€,"Av Del Monte Igueldo, 36, 28053",Puente de Vallecas
563,Kebab Vallecano,12,4.0,1.40,30–40,Kebab,€,"Calle De Benadalid 6,  28018",Puente de Vallecas
564,Star Kebab Pollo Asado,14,4.1,2.40,35–45,Pollo,€€,"Calle De Peña De La Atalaya, 86, 28053",Puente de Vallecas
565,Entrecarbón,23,3.6,1.90,20–30,Carne,€,C/ Felipe Fraile 5 28038,Puente de Vallecas
566,Pizzamarket,30,4.8,1.90,20–30,Pizza,€€,"Av. Del Mediterráneo, 21, 28007",Puente de Vallecas
567,Twin Pizza Mediterráneo,17,4.2,1.90,20–30,China,€,"Avenida Pablo Neruda 108,  28018",Puente de Vallecas
568,Panda Sushi,133,4.4,1.90,20–30,Saludable,€€,"Calle De Arias Montano, 42, 28007",Puente de Vallecas
569,Acqua in Bocca,36,4.3,1.90,20–30,Opciones para alergias,€,"Calle Campo De La Paloma 32,  28018",Puente de Vallecas
570,Arepa Mix,38,3.9,1.90,20–30,Venezolana,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas
571,THE SCHNITZEL BOSS,23,3.6,1.90,20–30,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,  28038",Puente de Vallecas
572,Frida Burritos,47,4.5,1.90,20–30,Burritos,€€,"Calle De Ferroviarios 98,  28026",Puente de Vallecas
573,Bocadillos Ole,23,3.6,1.90,20–30,Bocadillo,€,"Calle Felipe Fraile 5,  28038",Puente de Vallecas
574,Ceviches Marakaza,23,3.6,1.40,30–40,Peruana,€,"Avenida Pablo Neruda, 96 , 28018",Puente de Vallecas
575,Burger Town,23,3.6,1.40,30–40,Hamburguesas,€,"Calle Del Puerto Canfranc, 42, 28038",Puente de Vallecas
576,Comida Fusión,19,3.7,1.40,30–40,Fusión latina,€,"Avenida De Peña Prieta 22,  28038",Puente de Vallecas
577,SUKAO FOOD FUSION,60,3.6,1.40,30–40,Japonesa,€,"Calle De Santa Isabel, 5, 28012",Puente de Vallecas
578,Yokaloka,60,3.6,1.40,30–40,Tapas y raciones,€,"Calle De La Antracita, 10, 28045",Puente de Vallecas
579,Cantina Canalla,24,4.2,1.40,30–40,De Latinoamérica,€,"Calle De La Cruz Del Sur 5,  28007",Puente de Vallecas
580,BURRITOS & TACOS,86,3.5,1.40,25–35,Burritos,€,"Avenida Peña Prieta 50,  28038",Puente de Vallecas
581,Asador Delicasa,14,4.0,1.40,25–35,Carne,€,"Calle De Gutenberg 3, 28014",Puente de Vallecas
582,Waiwai Fusion Poke Atocha,32,4.7,1.40,25–35,Alcohol,€,"Calle De Méndez Álvaro 77,  28045",Puente de Vallecas
583,Tasty Poke,178,4.6,1.40,25–35,Poke,€,"Av. Pablo Neruda, 91, 28018",Puente de Vallecas
584,Don Tortilla,24,4.1,1.40,25–35,Saludable,€,"Calle De Cáceres 5, 28045",Puente de Vallecas
585,Herbívoro,60,3.8,1.40,25–35,Parrilla,€,"Avenida De Buenos Aires 63,  28018",Puente de Vallecas
586,Kebab Turca,60,3.8,1.40,25–35,Kebab,€,"Calle De Cardeñosa 42, 28053",Puente de Vallecas
587,Mac2Pic2,60,3.8,1.40,25–35,Boliviana,€,"Av. De La Albufera, 226, 28018",Puente de Vallecas
588,Ateshgah Albufera,60,3.8,1.40,25–35,Fritura,€,"Avenida Pablo Neruda, 96 , 28018",Puente de Vallecas
589,Superbestia,60,3.8,1.40,25–35,Pizza,€,"Paseo Molino, 7, 28045",Puente de Vallecas
590,Pizzeria Roberto,33,4.2,1.40,25–35,Pizza,€,"Avenida De Palomeras 150 , 28018",Puente de Vallecas
591,Merecumbe,100,4.3,1.40,25–35,Venezolana,€€,"Calle De Ferroviarios 98,  28026",Puente de Vallecas
592,Mr Patata,60,3.8,1.40,25–35,Pollo,€,"Calle De Lituania 6,  28030",Puente de Vallecas
593,Dragón,60,3.8,1.40,25–35,Pizza,€,"Calle De Embajadores, 12 ,  28045",Puente de Vallecas
594,TUTTO PASTA!,26,2.8,2.60,40–60,Comida rápida,€,"Av. De La Albufera, 226, 28018",Moratalaz
595,Papa John's,200,4.4,1.40,25–35,Pizza,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz
596,Streat Lab,50,4.6,2.49,50–70,Pollo,€,"Av. De La Albufera, 91, 28053",Moratalaz
597,Pizz-a-porter,60,3.8,0.90,35–45,Pizza,€€€,"Calle De La Alianza 33,  28041",Moratalaz
598,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz
599,Streat Lab,50,4.6,1.90,40–50,Pollo,€,"Calle Felipe Fraile 5,  28038",Moratalaz
600,On Rush,14,4.8,2.40,45–55,Burritos,€,"Av. De La Albufera, 91, 28053",Moratalaz
601,Pizz-a-porter,60,3.8,1.90,45–55,Pizza,€,"Calle De Berastegui 24,  28017",Moratalaz
602,Perla del Pacifico,30,4.3,2.40,40–50,Mediterránea,€,"Avenida De La Albufera, 40,  28038",Moratalaz
603,El Sabroso Albufera,30,3.9,2.40,25–35,Comida rápida,€,"Calle Manuel Machado, 6, 28030",Moratalaz
604,McDonald's,200,4.2,1.90,30–40,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz
605,Bur Burger,50,4.4,1.90,40–50,Hamburguesas,€€€,"Calle Azulejo 2,  28028",Moratalaz
606,Empanadas BAIRES,60,3.8,2.90,45–55,Empanada,€,"Calle Esteban Collantes, 31,  28017",Moratalaz
607,Croqueteria Focos,60,3.8,2.90,35–45,Croquetas,€,"Calle De Gonzalo De Berceo 63,  28017",Moratalaz
608,Asador Perla del Pacifico Ascao,39,4.6,2.40,40–50,Carne,€,"Av. De La Albufera, 20, 28053",Moratalaz
609,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Avenida De La Albufera 119,  28038",Moratalaz
610,Kebab Rayo,117,3.8,1.90,35–45,Kebab,€,"Paseo Del Marqués De Zafra 38, 28028",Moratalaz
611,DIVE`S FOOD,60,3.8,2.40,45–55,Hamburguesas,€,"Calle De Julián Camarillo 47,  28037",Moratalaz
612,Pic & Nic,200,4.5,3.40,30–40,Mediterránea,€,"Calle De Benjamín Palencia, 32,  28038",Moratalaz
613,Poke Ukelele,68,4.2,3.40,45–65,Poke,€€€,"Av. De Moratalaz, 137, 28030",Moratalaz
614,Kebab moratalaz,60,3.8,1.40,30–40,Kebab,€,"Av. Del Mediterráneo, 30, 28009",Moratalaz
615,Mahalo Poke,60,3.8,2.50,30–50,Poke,€,"Av. Del Marqués De Corbera, 40, 28017",Moratalaz
616,Bar el castaño,60,3.8,2.40,35–45,Mediterranea,€€,"Calle Del Camino De Los Vinateros, 22, 28030",Moratalaz
617,Ankara Doner Kebab,38,4.3,1.90,30–40,Kebab,€,"Avenida Del Monte Igueldo 36,  28053",Moratalaz
618,Istanbul Kebab Madrid,60,3.8,2.40,40–50,Kebab,€,"Calle De Benadalid 6,  28018",Moratalaz
619,Star Kebab Pollo Asado,14,4.1,2.40,35–45,Pollo,€,"Av Del Monte Igueldo, 36, 28053",Moratalaz
620,Kebab Vallecano,12,4.0,2.40,40–50,Kebab,€,"Calle De Ezequiel Solana, 52, 28017",Moratalaz
621,Da Yuan,200,4.4,2.40,40–50,Comida rápida,€,C/ Felipe Fraile 5 28038,Moratalaz
622,Pizzamarket,30,4.8,2.40,40–50,Pizza,€,"Calle De Ricardo Ortiz, 20, 28017",Moratalaz
623,Tennessee BBQ,77,4.8,2.40,40–50,Pizza,€,"Calle De Zabaleta 1, 28002",Moratalaz
624,Napoli Gang by Bel Mondo,200,4.6,2.40,40–50,Pizza,€€,"Av. Del Mediterráneo, 21, 28008",Moratalaz
625,Twin Pizza Mediterráneo,17,4.2,2.40,40–50,India,€€,"Calle Francisco Villaespesa, 6, 28017",Moratalaz
626,Mother india,37,4.3,2.40,40–50,China,€,"Avenida Pablo Neruda 108,  28018",Moratalaz
627,Panda Sushi,133,4.4,2.40,40–50,Saludable,€,"Calle Del Vizconde De Matamala 5,  28028",Moratalaz
628,Clásico Argentino 🇦🇷 ,41,4.5,2.40,40–50,Empanada,€€,"Calle De Arias Montano, 42, 28007",Moratalaz
629,Acqua in Bocca,36,4.3,2.40,40–50,Comida rápida,€,"Calle Buen Gobernador, 6,  28027",Moratalaz
630,Happy Burger,90,4.3,2.40,40–50,Hamburguesas,€,"Calle Campo De La Paloma 32,  28018",Moratalaz
631,Arepa Mix,38,3.9,2.40,40–50,Venezolana,€,"Calle Felipe Fraile 5,  28038",Moratalaz
632,THE SCHNITZEL BOSS,60,3.8,2.40,40–50,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,  28038",Moratalaz
633,Frida Burritos,47,4.5,2.40,40–50,Burritos,€,"Calle De Gandhi 71, 28017",Moratalaz
634,Veg&Bite,12,4.9,2.40,40–50,Postres,€,"Calle Felipe Fraile 5,  28038",Moratalaz
635,Ceviches Marakaza,60,3.8,2.40,40–50,Peruana,€,"Calle Del Vizconde De Matamala 5,  28028",Moratalaz
636,Sushi Not Sorry,60,3.8,2.40,40–50,Fusión asiática,€,"Calle De Maiquez 50,  28009",Moratalaz
637,Nagasaki Sushi Retiro,60,3.8,2.40,40–50,China,€,"Calle Del Puerto Canfranc, 42, 28038",Moratalaz
638,Comida Fusión,19,3.7,2.40,40–50,Fusión latina,€,"Avenida De Peña Prieta 22,  28038",Moratalaz
639,SUKAO FOOD FUSION,60,3.8,2.50,40–60,Japonesa,€,"Zabaleta 1,  28002",Moratalaz
640,Nola Smoke,199,4.2,2.50,40–60,Comida rápida,€,"Calle De La Cruz Del Sur 5,  28007",Moratalaz
641,BURRITOS & TACOS,86,3.5,2.50,40–60,Burritos,€,"Avenida Peña Prieta 50,  28038",Moratalaz
642,Asador Delicasa,14,4.0,2.50,40–60,Carne,€,"Fuente Carrantona 24, 28030",Moratalaz
643,TGB,174,3.9,2.50,40–60,Hamburguesas,€,"Avenida Unión Europea 5,  28850",Moratalaz
644,Ágora Torrejón,60,3.8,2.50,40–60,Fried Foods,€,"Avenida De Buenos Aires 63,  28018",Moratalaz
645,Kebab Turca,60,3.8,2.50,40–60,Kebab,€,"Av. De La Albufera, 226, 28018",Moratalaz
646,Ateshgah Albufera,60,3.8,2.50,40–60,Fritura,€,"Avenida Pablo Neruda, 96 , 28018",Moratalaz
647,Superbestia,60,3.8,2.50,40–60,Pizza,€,"Calle De Embajadores, 12 ,  28045",Moratalaz
648,TUTTO PASTA!,26,2.8,2.50,40–60,Pizza,€,"Alcalde Luis De Marichala 3, 28030",Ciudad Lineal
649,Papa John's,127,4.1,1.40,35–45,Pizza,€,"Calle Azulejo 2,  28028",Ciudad Lineal
650,Pizzería Argentina El Trébol,60,3.8,2.90,45–55,Pizza,€€,"Calle De La Alianza 33,  28041",Ciudad Lineal
651,Chinawokexpress,200,4.2,4.25,30–50,China,€€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal
652,El Burrito Borracho,60,2.7,2.90,40–50,Burritos,€,"Calle Azulejo 2,  28028",Ciudad Lineal
653,Pizzería Argentina El Trébol,60,2.7,1.90,40–50,Pizza,€,"Calle De Berastegui 24,  28017",Ciudad Lineal
654,Perla del Pacifico,30,4.3,1.40,35–45,Mediterránea,€€€,"Calle De La Alianza 33,  28041",Ciudad Lineal
655,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26, 28017",Ciudad Lineal
656,El Burrito Borracho,60,2.7,1.40,30–40,Burritos,€,"Calle De José Ortega Y Gasset 94, 28006",Ciudad Lineal
657,Empanadas Malvón,48,4.9,1.90,25–35,Empanada,€€€,"Calle Azulejo 2,  28028",Ciudad Lineal
658,Empanadas BAIRES,60,2.7,1.90,40–50,Empanada,€,"López De Hoyos , 153, 28224",Ciudad Lineal
659,Popeyes,200,4.4,1.90,35–45,Pollo,€,"Alcala 191, 28006",Ciudad Lineal
660,Pastamore,98,4.6,2.40,30–40,Italiana,€,"Calle Esteban Collantes, 31,  28017",Ciudad Lineal
661,Croqueteria Focos,60,2.7,1.40,25–35,Croquetas,€,"Calle Del Príncipe De Vergara, 210, 28002",Ciudad Lineal
662,Home Burger Bar,198,4.1,2.40,35–45,Hamburguesas,€,"Calle De La Virgen De La Fuencisla, 19,  28027",Ciudad Lineal
663,HyH Kebab Fried Chicken,23,3.6,1.00,40–60,Pollo,€,"Calle Mateo García, 13, 28017",Ciudad Lineal
664,Pollos Gourmet,22,2.7,1.40,25–35,Pollo,€€,"Calle De Azcona 36,  28028",Ciudad Lineal
665,Arepish,186,4.6,1.90,30–40,Venezolana,€,"Calle De Cronos, 6, 28037",Ciudad Lineal
666,Ichibanya,40,4.0,1.90,40–60,Comida rápida,€,"Calle De Gonzalo De Berceo 63,  28017",Ciudad Lineal
667,Asador Perla del Pacifico Ascao,39,4.6,1.90,30–40,Carne,€,"Calle De Julián Camarillo 47,  28037",Ciudad Lineal
668,Pic & Nic,200,4.5,2.40,25–35,Mediterránea,€,"Paseo Del Marqués De Zafra 38, 28028",Ciudad Lineal
669,DIVE`S FOOD,22,2.7,1.90,40–50,Hamburguesas,€,"Calle De Las Naciones 5,  28006",Ciudad Lineal
670,PaellaGood,22,2.7,2.40,45–55,Mediterránea,€€,"Calle De Alcalá, 339, 28027",Ciudad Lineal
671,Pa Picar,22,2.7,0.90,20–30,Mediterránea,€,"Calle Del Gral. Pardiñas, 32, 28001",Ciudad Lineal
672,Rude Burger,36,4.8,2.90,40–50,Hamburguesas,€€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal
673,100 % Sano,22,2.7,2.90,35–45,Saludable,€,"Calle De San Romualdo, 22, 28037",Ciudad Lineal
674,McDonald's,200,4.2,2.40,20–30,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,  28028",Ciudad Lineal
675,Thai Zafra,38,4.6,1.90,25–35,Opciones para alergias,€,"Calle De María De Molina, 44, 28006",Ciudad Lineal
676,Flame,22,2.7,2.40,45–55,Hamburguesas,€€,"Calle Conde De Penalver 35,  28006",Ciudad Lineal
677,Cor & Cor,35,4.3,2.40,50–60,Postres,€,"Calle De Maldonado, 51, 28006",Ciudad Lineal
678,Tiendas 7x24,140,4.8,2.40,30–40,Fusión asiática,€,"Calle De Méjico 20,  28028",Ciudad Lineal
679,Restaurante Chino Diamante,100,4.0,1.90,35–45,China,€,"Calle De Emilio Gastesi Fernández 12, 28027",Ciudad Lineal
680,Tienduki,22,2.7,2.99,5–25 ,Comida rápida,€,"Calle Del Dr. Esquerdo, 10, 28028",Ciudad Lineal
681,Empanadas Pampas,22,2.7,2.40,35–45,Empanada,€,"Calle Ferretería, 3, 28037",Ciudad Lineal
682,Make doner,15,3.9,2.40,50–60,Sándwiches,€,"Calle Zabaleta 1,  28002",Ciudad Lineal
683,CHUCK CHUCK CHICKEN,22,2.7,2.40,40–50,Pollo,€,"Calle De Mota Del Cuervo, 76, 28043",Ciudad Lineal
684,El Nuevo Yantar,22,2.7,3.90,45–55,Cafetería,€,"C/ Alcala 232, 28017",Ciudad Lineal
685,Tim Hortons,36,4.9,1.40,25–35,Comida reconfortante,€,"Calle De Arturo Soria, 189, 28043",Ciudad Lineal
686,Pasteleria Saul,27,4.2,2.40,25–35,Postres,€€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Ciudad Lineal
687,Foster's Hollywood,65,4.2,2.40,40–50,Americana,€,"Calle De Silvano, 77, 28043",Ciudad Lineal
688,Kebab Bosforos,80,4.5,2.90,40–50,Kebab,€,"Av. Del Marqués De Corbera, 40, 28017",Ciudad Lineal
689,Bar el castaño,22,2.7,1.90,30–40,Mediterranea,€,"Calle De Hermosilla, 91, 28001",Ciudad Lineal
690,Esmirna Doner Kebap,48,4.7,2.40,35–45,Kebab,€,"Calle Zabaleta 1,  28002",Ciudad Lineal
691,Golat Helados,22,2.7,2.40,35–45,Postres,€,"Calle Zabaleta 1,  28002",Ciudad Lineal
692,Frambons,22,2.7,2.40,35–45,Empanada,€,"Av. Del Mediterráneo, 30, 28009",Ciudad Lineal
693,Mahalo Poke,22,2.7,2.50,30–50,Poke,€,"Calle De Cartagena, 131, 28002",Ciudad Lineal
694,Doner kebap efes,23,4.7,2.40,25–35,Kebab,€,"Calle De López De Hoyos, 139, 28002",Ciudad Lineal
695,Doner kebap efes,30,4.6,1.90,30–40,Kebab,€,"Calle De Alcalá 205, 28028",Ciudad Lineal
696,100 Montaditos,22,2.7,1.90,35–45,Panadería,€,"Calle Del Conde De Peñalver 43,   28006",Ciudad Lineal
697,CHOCOLATES VALOR,12,4.1,2.90,60–70,Postres,€,"Calle De Francisco Silvela 63,  28006",Ciudad Lineal
698,Sumo Grill,26,4.5,2.90,60–70,Opciones para alergias,€,"Calle De Ezequiel Solana, 52, 28017",Ciudad Lineal
699,Da Yuan,200,4.4,2.90,60–70,Pasta,€,"Calle Del Conde De Peñalver, 66, 28006",Ciudad Lineal
700,Filippo Pizza,22,2.7,2.90,60–70,Americana,€,"Calle De Ricardo Ortiz, 20, 28017",Ciudad Lineal
701,Tennessee BBQ,77,4.8,2.90,60–70,Americana,€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal
