,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
379,Galp,19,4.3,0.9,35–45,Tienda,€,"Calle De Bravo Murillo, 274,  Madrid",Tetuán,4.046.087,-369.813
381,McDonald's,200,4.2,0.4,20–30,Hamburguesas,€,"Intercambiador De Plaza De Castilla,   Madrid",Tetuán,4.046.847,-368.845
382,Busburguer,98,4.5,1.4,25–35,Hamburguesas,€,"Calle De José Abascal 31,  Madrid",Tetuán,4.043.856,-369.891
383,Junk Burger,31,4.3,1.9,45–55,Hamburguesas,€,"Calle Del Cactus 42,   Madrid",Tetuán,4.046.117,-37.001
385,Chili House🌶,40,3.5,0.9,35–45,Mexicana,€,"Bravo Murillo, 120,   Madrid",Tetuán,4.044.861,-37.035
386,Pomodoro,87,3.8,1.4,40–50,Italiana,€,"Calle De Galileo, 75,  Madrid",Tetuán,4.043.769,-371.015
387,Tosty,40,3.5,2.4,50–60,Family Meals,€,"Calle De Barceló 6,   Madrid",Tetuán,4.042.659,-370.073
389,Mad Pollo,45,4.0,1.4,15–35,Pollo,€,"Calle De María De Molina, 16,  Madrid",Tetuán,4.043.794,-368.459
390,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De San Andrés, 31,  Madrid",Tetuán,4.042.842,-370.346
391,Pic & Nic,200,4.4,2.9,55–65,Mediterránea,€€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Tetuán,4.041.349,-369.582
392,Foster's Hollywood,65,4.2,2.4,35–45,Americana,€€,"Paseo De S. Fco. De Sales, 3,   Madrid",Tetuán,40.44,-371.705
394,Taste of America,40,3.5,2.4,35–45,Americana,€,"Calle De Raimundo Fernández Villaverde 33,   Madrid",Tetuán,4.044.705,-370.016
395,Empanadas BAIRES,13,4.0,1.4,45–55,Empanada,€,"Calle Bravo Murillo 218,   Madrid",Tetuán,4.046.448,-369.484
396,Sultán kebab,19,3.0,0.9,25–35,Árabe,€€,"Calle De Bravo Murillo, 34,  Madrid",Tetuán,4.043.741,-370.402
398,Astros,40,3.5,2.4,45–55,Family Meals,€,"Calle Del Príncipe De Vergara 258,   Madrid",Tetuán,4.042.562,-367.992
399,Empanadas BAIRES,40,3.5,1.9,35–45,Empanada,€,"Paseo De S. Fco. De Sales, 17,  Madrid",Tetuán,4.044.103,-371.533
400,Cherry Pecas,92,4.4,2.4,30–40,Comida rápida,€,"Calle De José Calvo 10,   Madrid",Tetuán,4.045.883,-370.845
402,Pops ´n Bops,40,3.5,0.9,45–55,Árabe,€€,"Calle De Bravo Murillo, 215,  Madrid",Tetuán,4.045.761,-370.118
403,Great Kebab,40,3.5,0.9,35–45,Kebab,€,"Calle De Bravo Murillo 193,  Madrid",Tetuán,4.045.457,-370.302
